#ID	DataBase	Run	Platform
Yiling	NCBI	SRR17257200	PACBIO_Sequel_II
Xiangxi	NCBI	SRR17257201	PACBIO_Sequel_II
Wenshangaofeng	NCBI	SRR17257202	PACBIO_Sequel_II
Weizhou	NCBI	SRR17257203	PACBIO_Sequel_II
Weining	NCBI	SRR17257204	PACBIO_Sequel_II
lincanggaofeng	NCBI	SRR17257205	PACBIO_Sequel_II
Leiqiong	NCBI	SRR17257206	PACBIO_Sequel_II
Jinjiang	NCBI	SRR17257207	PACBIO_Sequel_II
Guanling	NCBI	SRR17257208	PACBIO_Sequel_II
Dabieshan	NCBI	SRR17257209	PACBIO_Sequel_II
OxO	NCBI	ERR5037721	PACBIO_Sequel_II
NxB	NCBI	ERR5043144	PACBIO_Sequel_II
Yunling	NCBI	SRR24831389	PACBIO_Sequel_II
Yunling	NCBI	SRR24831390	PACBIO_Sequel_II
Charolais	NCBI	ERR10378054	PACBIO_Sequel_II
Charolais	NCBI	ERR10378055	PACBIO_Sequel_II
Charolais	NCBI	ERR10378056	PACBIO_Sequel_II
Charolais	NCBI	ERR10378057	PACBIO_Sequel_II
Charolais	NCBI	ERR10378058	PACBIO_Sequel_II
Holstein	Genome_Sequence_Archive	CRR476867	PACBIO_Sequel_II
