Yiling	SRR17318620_1.fastq.gz	SRR17318620_2.fastq.gz
Xiangxi	SRR17318621_1.fastq.gz	SRR17318621_2.fastq.gz
Wenshangaofeng	SRR17318622_1.fastq.gz	SRR17318622_2.fastq.gz
Weizhou	SRR17318623_1.fastq.gz	SRR17318623_2.fastq.gz
Weining	SRR17318624_1.fastq.gz	SRR17318624_2.fastq.gz
Lincanggaofeng	SRR17318625_1.fastq.gz	SRR17318625_2.fastq.gz
Leiqiong	SRR17318626_1.fastq.gz	SRR17318626_2.fastq.gz
Jinjiang	SRR17318627_1.fastq.gz	SRR17318627_2.fastq.gz
Guanling	SRR17318628_1.fastq.gz	SRR17318628_2.fastq.gz
Dabieshan	SRR17318630_1.fastq.gz	SRR17318630_2.fastq.gz
OxO	ERR6890252_1.fastq.gz	ERR6890252_2.fastq.gz
NxB	ERR4854281_1.fastq.gz	ERR4854281_2.fastq.gz
Yunling	SRR24831395_1.fastq.gz	SRR24831395_2.fastq.gz
Charolais	ERR10310247-ERR10310250_1.fastq.gz	ERR10310247-ERR10310250_2.fastq.gz
Holstein	CRR476868_f1.fq.gz	CRR476868_r2.fq.gz
